PMID	Sentence	Dictionary Name	Position	True	False
28695167	Leaders within the University of Alabama at Birmingham School of Nursing, through a Pan American Health Organization/World Health Organization Nursing Collaborating Center, have initiated collaborative projects in cancer and palliative care between the U.S., Turkey, and Malawi to strengthen initiatives that can ultimately transform practice.	Pan	84 87	0	1
35050605	A series of organometallic copper complexes in formal oxidation states ranging from +1 to +3 have been characterized by a combination of Cu K-edge X-ray absorption and Cu Kbeta valence-to-core X-ray emission spectroscopies (VtC XES).	VtC	224 227	0	1
35050605	Each formal oxidation state exhibits distinctly different x-ray absorption and VtC XES transition energies due to the differences in the Cu Zeff, concomitant with changes in physical oxidation state from +1 to +2 to +3.	VtC	79 82	0	1
35050605	Herein, we demonstrate the sensitivity of x-ray absorption and VtC XES to the physical oxidation states of a series of N-heterocyclic carbene ligated organocopper complexes.	VtC	63 66	0	1
35050605	Combining x-ray absorption and VtC XES further demonstrates the necessity of combining multiple spectroscopies when investigating the electronic structures of highly covalent copper complexes, providing a template for future investigations into both synthetic and biological metal centers.	VtC	31 34	0	1
35050682	We conducted studies on population structure and genetic diversity of Puccinia striiformis f. sp. tritici (Pst) pathotypes using 38 simple sequence repeat (38 SSR) primer-pairs.	SSR	159 162	0	1
35051078	Excess Zn2+ ameliorated the adverse effects of Cd2+ on photosystem ii photochemistry, increasing the fraction of energy used for photochemistry (phiPSII) and restoring photosystem ii redox state and maximum photosystem ii efficiency (Fv/Fm), while decreasing excess excitation energy at photosystem ii (EXC).	EXC	303 306	1	0
35051110	The infiltrate was polyclonal in all cats, while BCR and TCR clonal rearrangements were identified in dogs.	TCR	57 60	1	0
35051295	The present study observed that 48 h co-culture of three human hepatoma cell lines (MHCC97-L, Hep-3B, LM3) with a irradiated human HSC line (LX-2) in a transwell chamber could significantly improve the invasion of the human hepatoma cells;	HSC	131 134	0	1
35051374	In the axon, autophagic engulfment of nucleoid-enriched mitochondrial fragments requires the mitochondrial fission machinery Drp1.	axon	7 11	1	0
35051554	Petasin suppressed the expression of markers of mature adipocytes (PPARgamma, C/EBPalpha, and aP2).	aP2	94 97	0	1
35051607	A wide array of events occurs during HSC activation including induction of hedgehog (Hh) signaling and endoplasmic reticulum stress.	HSC	37 40	0	1
35051607	Targeting HSC activation may provide promising insights into liver fibrosis treatment.	HSC	10 13	0	1
35051607	We aimed to activate HSC in which Hh signaling and endoplasmic reticulum stress are stimulated simultaneously.	HSC	21 24	0	1
35051607	Gene expression analysis using qRT-PCR, immunostaining and immunoblotting were performed to show HSC activation associated markers.	HSC	97 100	0	1
35051607	Our results are compatible with high throughput data analysis with respect to differentially expressed genes of activated HSC compared to the quiescent ones.	HSC	122 125	0	1
35051676	E4Falzheimer's disease females exhibited strikingly increased GFAP levels, in addition to the lowest levels of PSD-95 and pCREB.	GFAP	62 66	1	0
35052377	Subsequent functional characterization revealed impaired T-cell proliferation, low TREC levels and a skewed TCR Vbeta repertoire in all three patients.	TCR	108 111	1	0
35052435	In conclusion, despite upregulation of TGFB1, the rest of the canonical TGF-beta pathway and mature smooth muscle cells were consistently downregulated in marfan syndrome, indicating a potential compromise of TGF-beta signaling and lack of stimulus for SMC differentiation.	SMC	253 256	0	1
35052437	All markers were polymorphic, 40 alleles were obtained with n-SSRs ranging from 8-12 alleles per locus with an average of 10 alleles per marker, PIC values ranged from 0.672 to 0.847, and the most polymorphic SSR was MTIC 564.	SSR	209 212	0	1
