PMID	Sentence	Dictionary Name	Position	True	False
3264363	We determined the effect of recombinant gm-csf on the metabolism of high dose Ara-C in bone marrow mononuclear cells from healthy volunteers and patients with ANLL.	ANLL	159 163	1	0
3264363	The differential effect of recombinant gm-csf on the phosphorylation of Ara-C in normal bone marrow mononuclear cells versus leukemic blasts has potential implications for the use of a regimen consisting of recombinant gm-csf and high dose Ara-C in the treatment of ANLL with chemotherapy or autologous bone marrow transplantation.	ANLL	266 270	1	0
3264366	The role of neutral proteinases and activated oxygen species in different diseases such as ARDS, emphysema, coagulation defects, arthritis, and inflammation, is recognized.	ARDS	91 95	1	0
3264507	Cathepsin B and cystatin C were determined by ELISA test in 47 patients with rheumatoid arthritis, seronegative spondylarthritis, osteoarthritis, undifferentiated arthritis and gout.	gout	177 181	1	0
3264577	Gout with rheumatoid arthritis or systemic lupus erythematosus is rarely reported.	Gout	0 4	1	0
3264577	There has been only one previous case report of gout with systemic sclerosis.	gout	48 52	1	0
3264577	Gout does occur in systemic sclerosis although the incidence is unknown.	Gout	0 4	1	0
3264577	Synovial fluid analysis may be necessary to differentiate gout from the arthropathy of systemic sclerosis.	gout	58 62	1	0
3264582	A 52-year-old woman presented with rash, bilateral uveitis and polyarthritis of her hands.	rash	35 39	1	0
3265424	It has been hypothesized that there is an adrenal abnormality in the polycystic ovary syndrome (PCO).	PCO	96 99	1	0
3265424	This study supports the hypothesis that the adrenal gland in patients with PCO produces increased amounts of androstenedione in response to ACTH stimulation.	PCO	75 78	1	0
3265456	[An autopsy case of acquired immuno-deficiency syndrome associated with P. carinii pneumonia with a rapid clinical course resembling ARDS].	ARDS	133 137	1	0
3265461	Occasional roughening, bleb formation, or pitting of the corneal surface resembling superficial ulcers may be observed.	bleb	23 27	1	0
3265500	9G4 is thus a useful tool to investigate the normal counterpart of the CLL cell.	CLL	71 74	1	0
3265502	Experiments with mixtures of normal and CLL cells suggest that the decreased IL-6 production in CLL is due neither to an inhibition of normal blood mononuclear cells IL-6 production by B-CLL lymphocytes nor to the absence in CLL blood of cell(s) or cytokine(s) needed for IL-6 production.	CLL	96 99	1	0
3265502	Experiments with mixtures of normal and CLL cells suggest that the decreased IL-6 production in CLL is due neither to an inhibition of normal blood mononuclear cells IL-6 production by B-CLL lymphocytes nor to the absence in CLL blood of cell(s) or cytokine(s) needed for IL-6 production.	CLL	225 228	1	0
3265505	In 3 cases of clonal remission CLL studied, all T cell and NK subpopulations were recovering to normal percentages.	CLL	31 34	1	0
3265507	The morphological patterns of 20 lymph node biopsies from well differentiated lymphocytic proliferation (CLL and DWDL) were studied using conventional morphology and morphometric technics;	CLL	105 108	1	0
3265507	In 12 cases immunohistochemical technics were applied to determine SmIg, B cell differentiation antigens (CD19, CD20, CD21, BL14, FmC7) and T cells subsets (CD2, CD3, CD4, CD8) the quantification of the various T cell subsets showed that CD3, CD4, positive T cell were lower in advanced stages of CLL.	CLL	297 300	1	0
